userID,itemID,dateAdded
2000,1006,2024-03-08
2000,1007,2024-03-08
2000,1000,2024-03-21
2000,1000,2024-03-21
2001,1000,2024-03-08
2001,1001,2024-03-08
2001,1002,2024-03-08
2001,1011,2024-03-08
2002,1012,2024-03-08
2002,1013,2024-03-08
2002,1014,2024-03-08
2003,1003,2024-03-08
2003,1004,2024-03-08
2003,1005,2024-03-08
2004,1008,2024-03-08
2005,1006,2024-03-08
2005,1007,2024-03-08
2006,1000,2024-03-08
2006,1001,2024-03-08
2006,1002,2024-03-08
2007,1012,2024-03-08
2007,1013,2024-03-08
2007,1014,2024-03-08
2008,1003,2024-03-08
2008,1004,2024-03-08
2008,1005,2024-03-08
2008,1006,2024-03-08
2008,1007,2024-03-08
2008,1008,2024-03-08
2008,1012,2024-03-08
